Feature,Status,MASTER evidence,FIXED evidence
Identity / Tenant,PRESENT BOTH,"backend/alembic/versions/011_authentication_foundation.py, backend/app/api/auth.py, backend/app/core/security.py, backend/app/models/tenant.py, backend/app/models/user.py","backend/alembic/versions/011_authentication_foundation.py, backend/app/api/auth.py, backend/app/core/security.py, backend/app/models/tenant.py, backend/app/models/user.py"
Career Vault,PRESENT BOTH,"backend/alembic/versions/002_career_vault.py, backend/app/api/resume.py, backend/app/models/career_evidence.py, backend/app/models/career_profile.py","backend/alembic/versions/002_career_vault.py, backend/app/api/resume.py, backend/app/models/career_evidence.py, backend/app/models/career_profile.py"
Persona Engine,PRESENT BOTH,"backend/alembic/versions/003_persona_engine.py, backend/app/api/persona.py, backend/app/models/persona.py","backend/alembic/versions/003_persona_engine.py, backend/app/api/persona.py, backend/app/models/persona.py"
Job Intelligence / Job Inbox,PRESENT BOTH,"backend/alembic/versions/004_job_intelligence.py, backend/app/api/job.py, backend/app/models/job.py, backend/app/utils/connector_interface.py","backend/alembic/versions/004_job_intelligence.py, backend/app/api/job.py, backend/app/models/job.py, backend/app/utils/connector_interface.py"
Job DNA,PRESENT BOTH,"backend/app/models/job_dna.py, backend/app/utils/job_dna_generator.py","backend/app/models/job_dna.py, backend/app/utils/job_dna_generator.py"
Career Ontology / Taxonomy,PRESENT BOTH,"backend/app/models/capability_taxonomy.py, backend/app/utils/semantic_discovery.py","backend/app/models/capability_taxonomy.py, backend/app/utils/semantic_discovery.py"
Matching Engine,PRESENT BOTH,"backend/app/api/match.py, backend/app/models/match.py, backend/app/utils/match_engine.py","backend/app/api/match.py, backend/app/models/match.py, backend/app/utils/match_engine.py"
Resume Studio / Truth foundation,PRESENT BOTH,"backend/app/api/resume.py, backend/app/utils/resume_generator.py, frontend/src/app/resume-studio/page.tsx","backend/app/api/resume.py, backend/app/utils/resume_generator.py, frontend/src/app/resume-studio/page.tsx"
Application Factory,PRESENT BOTH,"backend/app/api/v01_product.py, backend/app/models/v01_product.py, frontend/src/app/application-studio/page.tsx","backend/app/api/v01_product.py, backend/app/models/v01_product.py, frontend/src/app/application-studio/page.tsx"
Application CRM,PRESENT BOTH,"backend/app/models/v01_product.py, frontend/src/app/applications/page.tsx","backend/app/models/v01_product.py, frontend/src/app/applications/page.tsx"
Company Intelligence,PRESENT BOTH,"backend/app/models/v01_product.py, frontend/src/app/company-intelligence/page.tsx","backend/app/models/v01_product.py, frontend/src/app/company-intelligence/page.tsx"
Interview Intelligence,PRESENT BOTH,frontend/src/app/interviews/page.tsx,frontend/src/app/interviews/page.tsx
Live Interview,PRESENT BOTH,frontend/src/app/live-interview/page.tsx,frontend/src/app/live-interview/page.tsx
Remote Intelligence,PRESENT BOTH,"backend/app/api/remote.py, backend/app/models/remote_eligibility.py, backend/app/utils/remote_engine.py","backend/app/api/remote.py, backend/app/models/remote_eligibility.py, backend/app/utils/remote_engine.py"
Migration Foundation,PRESENT BOTH,"backend/app/api/migration.py, backend/app/models/migration_profile.py, backend/app/utils/migration_engine.py","backend/app/api/migration.py, backend/app/models/migration_profile.py, backend/app/utils/migration_engine.py"
Analytics,PRESENT BOTH,frontend/src/app/analytics/page.tsx,frontend/src/app/analytics/page.tsx
Web GUI Shell,PRESENT BOTH,"frontend/src/app/page.tsx, frontend/src/components/CareerOSShell.tsx","frontend/src/app/page.tsx, frontend/src/components/CareerOSShell.tsx"
Database / Migrations,PRESENT BOTH,"backend/alembic/env.py, backend/alembic/versions/012_v01_product.py, docker-compose.yml","backend/alembic/env.py, backend/alembic/versions/012_v01_product.py, docker-compose.yml"
Testing,PRESENT BOTH,"backend/tests/test_auth_security.py, backend/tests/test_core.py","backend/tests/test_auth_security.py, backend/tests/test_core.py"
AI Provider Abstraction,PRESENT BOTH,"backend/app/core/config.py, backend/app/utils/connector_interface.py, backend/app/utils/ingestion_pipeline.py, backend/app/utils/jd_parser.py, backend/app/utils/job_dna_generator.py, backend/app/utils/logging.py, backend/app/utils/match_engine.py, backend/app/utils/migration_engine.py","backend/app/core/config.py, backend/app/utils/connector_interface.py, backend/app/utils/ingestion_pipeline.py, backend/app/utils/jd_parser.py, backend/app/utils/job_dna_generator.py, backend/app/utils/logging.py, backend/app/utils/match_engine.py, backend/app/utils/migration_engine.py"
